trial,timestamp,model_id,status,iou_wu,faultCount_max,faultCount_min,faultCurveMax,faultCurveProb,faultDecaySigma_max,faultDecaySigma_min,faultDipAngle_max,faultDipAngle_min,faultRoughSigma,faultRoughness,faultThreshold,faultThrow_max,faultThrow_min,faultZoneWidth,foldAmplitude_max,foldAmplitude_min,foldBaseShift_max,foldBaseShift_min,foldCount_max,foldCount_min,foldDamping,foldSigma_max,foldSigma_min,layerRange_max,layerRange_min,layerThickness_max,layerThickness_min,noiseLevel_max,noiseLevel_min,shearGradient_max,shearGradient_min,shearOffset_max,shearOffset_min,waveletDt,waveletDuration,waveletFreq_max,waveletFreq_min
38,2026-06-12T19:32:10.448904,model_21,COMPLETE,0.492375,9,4,2.931756940963658,0.345244095185769,75,39,67,47,3.763218176107941,6.629619949730321,0.7336330170022959,59,12,1.061105231578741,3,-14,6.824739317901067,-0.2542198522829175,54,9,0.8430213407492251,36,7,174,83,6,1,0.6049416607409913,0.0041098522441376,0.0150326205573864,-0.0924762153177068,7.889058106777048,-10.831949587236537,0.0018311560606823,0.1495080528683209,82,81
39,2026-06-12T21:24:06.852374,model_22,COMPLETE,0.359601,10,2,2.8127573942490307,0.2660605551321826,102,33,75,57,4.105258040716279,6.92427627941886,0.8054938593742496,45,8,0.729209461514351,12,-8,5.361395456316485,-2.3110645227663262,68,10,1.2537892087323894,36,6,186,53,6,1,0.1801401364647066,0.0164025314374659,0.0115512808959024,-0.0967457125176648,6.772440473339529,-10.654530300557,0.000999970430254,0.1389259469819557,151,104
40,2026-06-12T23:10:10.488384,model_23,COMPLETE,0.485254,9,3,2.037797852722452,0.4544871489586883,74,44,68,62,6.648288627981189,5.142923567659536,0.8179518723810949,45,10,1.0114379445527013,14,-13,5.186277650787233,0.2728619355088588,65,6,0.951615395951614,75,12,174,84,7,1,0.5358682001820433,0.0065430420746534,0.0096973480789184,-0.1244058645965703,5.55174810128979,-4.141508342015176,0.0017168481994948,0.1110194179000919,177,89
41,2026-06-13T01:11:34.037502,model_24,COMPLETE,0.601663,13,5,2.9058997829381528,0.3327948095042535,96,51,86,49,10.095795773791467,6.079288482582455,0.7466112876226817,52,14,0.7644669521847187,17,-12,3.583241165022,-0.6975222115367284,32,11,1.8685218073715475,35,9,204,69,4,1,0.348798112825088,0.0006578427445711,0.0252776025959133,-0.0996492284186763,7.991426423385501,-10.654916333371002,0.0023569383876528,0.1290976930980467,111,101
42,2026-06-13T03:15:59.589793,model_25,COMPLETE,0.587816,13,6,2.991102322545838,0.3345124234801411,95,52,74,49,10.493140579444525,7.029235146293207,0.7396373499375947,51,14,0.8043982947249493,17,-42,3.616986207379517,-1.496741521448596,32,11,1.8924357527307056,120,9,206,53,2,1,0.6386830916768407,0.0003491933051947,0.0257044153025584,-0.1003859291427867,6.630631881233481,-10.40488301547402,0.0018276707979565,0.1261174737261668,149,109
43,2026-06-13T05:21:42.261562,model_26,COMPLETE,0.539144,13,6,2.949357019367928,0.33052845133794,96,52,74,45,11.03769376700123,7.064326230967692,0.7431518015046661,53,13,0.7793111248432811,17,-39,3.587183027859446,-1.5096752015460289,42,10,1.8539299011452297,116,9,200,55,2,1,0.5396981799758771,0.0001387677623076,0.0253266915542976,-0.0989092065646273,7.536691500499908,-10.748734416447984,0.0019033142432552,0.1279224839341578,151,112
44,2026-06-13T07:25:13.999166,model_27,COMPLETE,0.612585,13,6,6.974360603332311,0.4628652895993105,95,61,80,50,9.712185211761485,6.10348076250743,0.6439868223192274,52,14,0.8305663339051722,17,-42,3.635770776064942,-1.5634712264655333,33,11,1.8398821249070916,33,7,208,32,2,1,0.6277607701210207,0.0031367369881089,0.031502789042162,-0.11844522958616,6.788698830024964,-10.298816080035843,0.0022862661698352,0.1114787657881865,115,110
45,2026-06-13T09:30:23.505681,model_28,COMPLETE,0.643302,13,6,1.9630456105253984,0.608359591896041,94,61,80,50,9.920359024036328,6.010173446254434,0.6053694275120645,45,15,0.82309120311074,17,-44,3.60468088706921,-1.6100953352200404,32,11,2.443728848538366,30,7,206,33,2,1,0.6173079768314745,0.0033860452239727,0.0332120941825986,-0.1196664994642133,5.899757118920406,-10.184095079004468,0.0023134720763757,0.1111305586344958,117,109
46,2026-06-13T11:36:45.105778,model_29,COMPLETE,0.53679,14,6,2.0383971885877217,0.6085033538919631,111,61,78,42,9.777696930861518,5.95253553593147,0.6011380109162107,45,15,0.6158086071736262,18,-50,2.7041006586300385,-0.7651239743513742,27,6,2.522778126791948,30,6,179,30,2,1,0.6163583916494969,0.0035844265743484,0.013046438890646,-0.1192376383208276,4.199066787626161,-11.429792909628564,0.0023175693038663,0.112440839664799,119,110
47,2026-06-13T13:41:02.116170,model_30,COMPLETE,0.646698,13,6,2.145242416068429,0.608343635398196,112,60,80,50,9.860633309237713,6.306253251471914,0.6453191451015949,32,14,0.8546218643264772,19,-43,3.7678096158491794,-1.5793196220608985,31,9,2.422179232010544,29,11,187,30,3,1,0.5549620233221373,0.0054390467427632,0.0325693437427805,-0.1438732102566907,3.0847745894717007,-9.838767896548372,0.0023284893836082,0.1035502832571316,87,84
48,2026-06-13T15:45:53.799370,model_31,COMPLETE,0.623145,13,6,1.609255900376466,0.5842195082040708,132,59,80,50,10.223848354160378,6.228669170537033,0.5684382455805882,46,14,0.8299316403806075,18,-42,3.772576833071372,-2.150696691106931,30,8,2.4545436206785336,29,11,164,30,3,1,0.5507949328552192,0.0056194844955526,0.032494786294509,-0.1450643800700675,6.086140847826497,-10.044840217886922,0.0023090185454735,0.1029931159216697,89,83
49,2026-06-13T17:46:33.042659,model_32,COMPLETE,0.649047,12,6,1.6939929314077278,0.6308408549288952,137,58,80,44,11.18176474921558,6.260573576894776,0.5678279514484678,38,15,1.1595433290398356,19,-43,1.045298699568383,-2.1915161761418456,31,8,2.465316585577324,30,11,163,30,3,1,0.5562830609092942,0.006414653965314,0.0331730302559111,-0.1478226460481495,3.1903066390003927,-9.508258252077104,0.0016536386877149,0.1007732552808914,80,78
50,2026-06-13T19:50:43.353468,model_33,COMPLETE,0.652004,12,6,6.998721880177766,0.5885123733825984,136,61,80,44,11.091212622831891,6.714319021111871,0.5662026017922943,38,15,1.1634976865324282,19,-43,2.427582367435429,-2.3106350952503982,29,7,2.426631253870064,27,14,161,30,3,1,0.6472719738608459,0.0061329446904294,0.0324620164697132,-0.1481678935859373,3.302396056052229,-10.023221476881895,0.0022775301525168,0.1022745538451809,92,76
51,2026-06-13T21:54:37.962377,model_34,COMPLETE,0.587336,12,6,1.3884294193449245,0.6341400000984047,137,59,80,44,11.360703718819112,6.858641717979552,0.5579582831832504,34,15,1.1912537598251352,19,-44,1.1272745082115674,-2.290424256781235,28,3,2.478430091718937,26,14,160,35,3,1,0.6557327058049875,0.0067016422652911,0.0433490135127575,-0.1512692292979426,1.981651336923937,-9.718903561755418,0.0032455332821865,0.1005603689016547,91,78
52,2026-06-13T23:59:31.410042,model_35,COMPLETE,0.376993,12,6,1.457788710447525,0.5882531283261422,137,65,76,34,10.999565799471638,7.974540137654617,0.4494375316819263,38,15,0.4766560117651793,15,-38,1.0302136179822603,-2.234503818978917,29,8,2.872173646734167,28,14,121,45,3,1,0.6998439937424263,0.0111654693807225,0.0340957447725879,-0.1611245975723902,3.0228717179331297,-8.746455958871945,0.0015811882373676,0.0860981515830383,81,78
53,2026-06-14T02:04:51.047698,model_36,COMPLETE,0.620676,13,6,6.879063032119941,0.5620272291233184,137,62,81,50,10.163195441195466,6.663813850418161,0.5618001268284697,39,14,0.8604955918791657,19,-43,2.463884335694993,-2.0912018106734176,35,5,2.311342729674806,31,11,164,30,2,1,0.5648046030076094,0.048639754359489,0.0335911203725026,-0.1385850978400964,3.307545728905338,-10.073284464480858,0.0022438819882502,0.1066471152001568,117,96
54,2026-06-14T04:05:53.387187,model_37,COMPLETE,0.64309,14,6,6.994641761481804,0.5731851681131502,137,62,81,44,10.217671664199676,6.62384519647893,0.546763779519354,33,14,0.8724078031215217,19,-45,2.48484520529592,-2.0881713603218284,37,5,2.372467789982691,40,11,165,35,2,1,0.5781831601223687,0.0427491303483197,0.0428221238065993,-0.1406005020745555,3.0758801370344764,-9.924307240212851,0.002051769634998,0.103038976305319,94,93
55,2026-06-14T06:12:48.105403,model_38,COMPLETE,0.591058,14,6,2.107261870485476,0.6490800096941225,144,57,85,44,11.173681926083576,7.2228533413073235,0.552895637868682,31,15,0.685248852931602,19,-45,1.5720177938689912,-2.5119160386434864,39,7,2.3854898248834155,40,11,143,36,3,1,0.5944078924392516,0.0471285778080491,0.0409611861288135,-0.1568393054409674,2.88576387417687,-11.334626333104412,0.002019537830621,0.099686250519046,92,89
56,2026-06-14T08:14:53.010719,model_39,COMPLETE,0.384798,12,6,1.339956136378048,0.570044384691453,146,59,82,40,9.355648570851097,6.6465633670461415,0.4841604584430863,29,13,2.487086463829472,15,-39,3.859673568184007,-2.499407363200405,46,8,2.753168180361479,20,14,144,37,2,1,0.5168339375131995,0.0078639119710632,0.0444086414229128,-0.1356697007629041,4.092952462837049,-8.57157605473762,0.0011128326681573,0.0870185969038691,100,80
57,2026-06-14T10:23:11.716487,model_40,COMPLETE,0.622043,15,6,1.8649342372608035,0.6286014965548481,131,54,78,46,10.703065801802328,5.866596610372252,0.6467615796953676,34,14,1.1439466922025037,20,-47,2.4791707279140125,-1.6810372186080424,30,5,2.5739723502543392,25,16,188,45,3,1,0.5652574332027139,0.0158493515720558,0.0342783288879943,-0.141453716344093,2.095975897646721,-9.320032335709756,0.0028153206955548,0.0996987661590794,84,69
58,2026-06-14T12:16:04.715158,model_41,COMPLETE,0.55701,13,5,2.2442458054820005,0.5548717347578287,112,63,80,40,11.918554117050055,6.336429617978963,0.4119417707584677,25,15,0.9780590987772362,16,-50,1.36188373417631,-2.0732402003616555,25,8,2.9616405897579066,24,11,119,35,3,1,0.4569700807208284,0.0243400386287361,0.0588602278908663,-0.1751179188513391,1.3233317500660515,-9.98383989104749,0.0024661442072999,0.1171397288395513,140,93
59,2026-06-14T14:23:32.677840,model_42,COMPLETE,0.592584,14,6,1.7176342752786722,0.5985186229564463,144,59,84,48,11.485231271729791,7.262675238233399,0.5813478573287567,27,14,0.6329694023745451,13,-41,1.8968278497253808,-2.4770151251569708,43,3,2.187807079167872,41,13,155,44,2,1,0.6494981529656022,0.0113678005582944,0.0456905317413728,-0.127124580178079,3.228237131651861,-11.163807312857385,0.0019671196253855,0.1077844297633244,96,85
60,2026-06-14T15:50:21.102718,model_43,COMPLETE,0.527749,14,5,6.7444835469821385,0.6520905153990538,133,56,76,52,10.248054812694102,6.587569563843664,0.634868552797863,36,13,1.2401372125638654,18,-46,4.364952538086768,-2.0764055699414614,37,6,2.3911793360024087,51,10,167,33,4,1,0.4544222709403252,0.0051834698860053,0.0283589571360449,-0.1449800412496255,2.90718892920406,-9.236662795190282,0.0031525839781825,0.0890850907305051,126,75
43,2026-06-14T19:57:06.661359,model_44,COMPLETE,0.616425,11,6,1.1536744941507555,0.6939722328891287,128,61,82,43,8.65717830641955,6.45456847682686,0.531823978959223,32,15,0.8932941623689632,20,-35,3.246307423514686,-2.7513573940100056,34,7,2.6138647214346165,27,15,149,38,3,1,0.5865125517904302,0.002120830214859,0.0360622298680269,-0.1520357312497425,5.088027474432119,-9.817868677045723,0.0021953366297773,0.0956670075451183,87,79
